question,answer
What is your return policy?,You can return the product within 7 days of delivery.
How can I contact support?,You can contact support via email at support@example.com.
Do you offer cash on delivery?,"Yes, we offer cash on delivery on selected products."
How long does delivery take?,Delivery usually takes 3 to 5 business days.
Can I track my order?,"Yes, you can track your order using the tracking link sent to your email."
What payment methods are accepted?,"We accept UPI, credit card, debit card, and net banking."
Can I cancel my order?,"Yes, you can cancel your order before it is shipped."
Do you provide refunds?,"Yes, refunds are processed within 5 to 7 working days."
Is there any warranty on products?,"Yes, most products come with a 1 year warranty."
How can I change my address?,You can change your address from your account settings.
Do you offer international shipping?,"Currently, we only ship within India."
What if I receive a damaged product?,You can request a replacement or refund within 48 hours.
How can I reset my password?,Click on forgot password and follow the instructions.
Is my payment secure?,"Yes, all payments are processed through secure gateways."
Can I exchange a product?,"Yes, exchanges are allowed within 7 days of delivery."
Do you have a mobile app?,"Yes, our app is available on Android and iOS."
How do I apply a coupon code?,You can apply a coupon code at checkout.
Why is my payment failing?,Please check your internet connection or try another payment method.
Can I place an order without creating an account?,"Yes, guest checkout is available."
How do I contact customer care?,You can contact us via email or call our helpline.
How do I create an account?,"Click on sign up, enter your details, and verify your email to create an account."
How can I log in to my account?,Enter your registered email and password on the login page.
What should I do if I forget my password?,Use the forgot password option to reset your password securely.
Can I update my phone number?,"Yes, you can update your phone number from your profile settings."
How do I change my email address?,Go to account settings and update your email address after verification.
How can I view my order history?,You can view your order history in the My Orders section.
How do I download my invoice?,Open your order details and click the download invoice button.
Can I reorder a previous purchase?,"Yes, you can reorder from your order history page."
How do I check product availability?,Product availability is shown on each product page.
Can I save items for later?,"Yes, you can move products to your wishlist or save for later section."
How do I add items to my cart?,Click the Add to Cart button on the product page.
How can I remove an item from my cart?,Open your cart and click remove next to the item.
Can I change the quantity of a product in my cart?,"Yes, you can update product quantity from the cart page."
Why is my coupon code not working?,"Please check the coupon validity, minimum order amount, and terms of use."
Can I use more than one coupon code?,"No, only one coupon code can be applied per order."
Do you offer free shipping?,"Yes, free shipping is available on selected orders above the minimum value."
How are shipping charges calculated?,"Shipping charges depend on your location, order value, and delivery option."
Can I schedule my delivery?,Scheduled delivery is available for selected locations and products.
Do you provide same day delivery?,Same day delivery is available in selected cities for eligible items.
How do I change my delivery address after ordering?,You can request an address change before the order is shipped.
What happens if I miss my delivery?,Our courier partner will usually attempt delivery again or contact you.
Can I open the package before paying?,Open delivery before payment is not available for all orders.
How do I track my shipment?,Use the tracking link shared by email or SMS after dispatch.
What does order confirmed mean?,Order confirmed means we have received your order successfully.
What does order shipped mean?,Order shipped means your package has left our warehouse.
What does out for delivery mean?,Out for delivery means your package is on the way to your address.
Why is my order delayed?,"Delays can happen due to weather, courier issues, or high order volume."
How do I know if my order was placed successfully?,You will receive an order confirmation message by email or SMS.
Can I cancel an order after it is shipped?,"Usually shipped orders cannot be cancelled, but you may refuse delivery if eligible."
How do I request a return?,"Go to My Orders, select the item, and choose the return option."
What items are not eligible for return?,"Personal care, innerwear, and some discounted items may not be returnable."
How long does a pickup take for returns?,Return pickup is usually arranged within 2 to 4 working days.
Do I need the original packaging for a return?,"Yes, original packaging is recommended for smooth return processing."
How will I receive my refund?,"Refunds are sent to your original payment method or store wallet, depending on the case."
Can I get a refund in my bank account?,"Yes, prepaid refunds are usually credited back to your bank or payment source."
What happens if my return is rejected?,"If a return is rejected, the item may be sent back to you with a reason."
How do I replace a defective product?,Submit a replacement request from the order details page.
Can I exchange for a different size?,"Yes, size exchange is available for eligible fashion products."
Do you sell original products?,"Yes, we sell genuine and quality-checked products."
Are product reviews verified?,Many reviews are from verified buyers who purchased the product.
How do I compare products?,Use the compare feature available on selected product pages.
Can I filter products by price?,"Yes, you can use filters to sort and narrow products by price."
How do I search for a product?,Use the search bar at the top of the website or app.
Do you restock sold out items?,"Yes, many sold out products are restocked based on availability."
Can I get notified when a product is back in stock?,"Yes, use the notify me option on the product page."
How do I add a product to my wishlist?,Click the heart icon or Add to Wishlist option.
Can I share my wishlist with others?,Wishlist sharing is available on selected platforms and app versions.
Do product prices change frequently?,"Prices may change due to offers, stock updates, or seller changes."
How do I know my size before ordering?,Please refer to the size chart available on the product page.
Are there any hidden charges?,"No, all applicable charges are shown before you place the order."
What is the minimum order amount?,There is no fixed minimum order unless stated for a specific offer.
Can I get GST invoice for my order?,"Yes, GST invoices are available for eligible purchases."
How do I add GST details?,You can enter GST details during checkout for eligible orders.
Can businesses place bulk orders?,"Yes, bulk orders can be placed based on stock availability."
Do you offer student discounts?,Student discounts may be available during selected promotional campaigns.
How do I unsubscribe from promotional emails?,Use the unsubscribe link in our emails or update notification settings.
Can I disable app notifications?,"Yes, you can disable notifications from app settings or phone settings."
Why am I not receiving OTP?,"Please check network coverage, entered number, and SMS blocking settings."
How do I verify my account?,Follow the OTP or email verification steps during sign up.
Can I log in using Google or social accounts?,Social login is available if supported on your platform.
How do I report a problem with the app?,Use the Help section in the app or contact support.
